t,system,cpu_pct,mem_mb,mem_pct,quota_cores
1.45,sys1,0.48,477.3,93.23,1.000
1.45,sys3,0.21,465.6,90.94,1.000
1.45,sys4,0.80,442.1,86.34,1.000
1.47,sys2,0.28,242.8,47.42,1.000
2.46,sys1,0.57,477.4,93.23,1.000
2.46,sys3,0.17,465.5,90.92,1.000
2.46,sys4,0.80,442.3,86.39,1.000
2.47,sys2,0.99,242.6,47.38,1.000
3.46,sys1,20.54,482.1,94.16,1.000
3.46,sys3,11.97,465.6,90.93,1.000
3.46,sys4,0.72,442.4,86.40,1.000
3.47,sys2,19.84,242.9,47.43,1.000
4.46,sys1,9.11,481.0,93.95,1.000
4.46,sys3,2.76,465.8,90.98,1.000
4.46,sys4,0.77,442.4,86.40,1.000
4.47,sys2,16.88,243.7,47.60,1.000
5.46,sys1,6.92,481.4,94.03,1.000
5.46,sys3,3.95,465.6,90.94,1.000
5.46,sys4,0.78,442.4,86.40,1.000
5.47,sys2,12.92,244.7,47.80,1.000
6.46,sys1,11.61,482.2,94.18,1.000
6.46,sys3,5.05,465.9,90.99,1.000
6.46,sys4,1.43,442.4,86.40,1.000
6.47,sys2,16.83,244.7,47.80,1.000
7.46,sys1,8.85,481.6,94.07,1.000
7.46,sys3,3.43,465.7,90.95,1.000
7.46,sys4,1.66,442.9,86.51,1.000
7.47,sys2,14.20,244.8,47.80,1.000
8.46,sys1,12.49,481.0,93.95,1.000
8.46,sys3,6.90,465.7,90.96,1.000
8.46,sys4,0.78,442.9,86.50,1.000
8.47,sys2,28.82,248.6,48.56,1.000
9.47,sys1,4.59,481.4,94.02,1.000
9.47,sys3,2.24,465.7,90.95,1.000
9.47,sys4,0.85,442.9,86.50,1.000
9.48,sys2,10.24,244.9,47.83,1.000
10.47,sys1,13.26,482.6,94.25,1.000
10.47,sys3,7.86,465.7,90.95,1.000
10.47,sys4,0.88,442.6,86.45,1.000
10.48,sys2,25.28,244.9,47.83,1.000
11.47,sys1,26.82,482.9,94.32,1.000
11.47,sys3,10.90,465.7,90.95,1.000
11.47,sys4,0.78,442.6,86.45,1.000
11.48,sys2,36.72,245.9,48.04,1.000
12.47,sys1,12.99,482.9,94.31,1.000
12.47,sys3,5.52,465.7,90.95,1.000
12.47,sys4,0.77,442.6,86.45,1.000
12.48,sys2,20.73,244.9,47.83,1.000
13.47,sys1,9.55,482.5,94.24,1.000
13.47,sys3,3.76,465.7,90.95,1.000
13.47,sys4,0.82,442.6,86.45,1.000
13.49,sys2,16.04,243.3,47.53,1.000
14.47,sys1,18.23,483.5,94.43,1.000
14.47,sys3,8.51,465.7,90.96,1.000
14.48,sys4,0.85,442.6,86.45,1.000
14.49,sys2,23.23,243.4,47.53,1.000
15.47,sys1,15.00,482.8,94.29,1.000
15.47,sys3,4.33,465.7,90.96,1.000
15.48,sys4,0.85,442.6,86.45,1.000
15.49,sys2,16.52,243.4,47.53,1.000
16.47,sys1,17.71,483.7,94.47,1.000
16.47,sys3,12.50,465.7,90.96,1.000
16.48,sys4,0.78,442.6,86.45,1.000
16.49,sys2,31.33,243.4,47.53,1.000
17.47,sys1,24.10,483.6,94.45,1.000
17.47,sys3,6.85,465.7,90.96,1.000
17.48,sys4,0.77,442.6,86.45,1.000
17.5,sys2,30.47,243.4,47.53,1.000
18.47,sys1,18.35,482.4,94.21,1.000
18.47,sys3,11.77,465.7,90.96,1.000
18.48,sys4,0.78,442.6,86.45,1.000
18.5,sys2,40.57,243.4,47.53,1.000
19.48,sys1,11.38,484.1,94.56,1.000
19.48,sys3,7.05,465.7,90.96,1.000
19.49,sys4,0.88,442.6,86.45,1.000
19.5,sys2,14.18,243.4,47.53,1.000
20.48,sys1,13.80,483.6,94.46,1.000
20.48,sys3,6.52,466.1,91.03,1.000
20.49,sys4,0.89,442.6,86.45,1.000
20.5,sys2,20.17,243.4,47.53,1.000
21.48,sys1,10.99,483.5,94.43,1.000
21.48,sys3,7.54,466.0,91.02,1.000
21.49,sys4,0.85,442.6,86.45,1.000
21.5,sys2,15.68,243.4,47.53,1.000
22.48,sys1,13.58,484.7,94.67,1.000
22.48,sys3,6.97,465.8,90.97,1.000
22.49,sys4,0.76,442.6,86.45,1.000
22.51,sys2,19.65,243.4,47.53,1.000
23.48,sys1,10.51,483.8,94.50,1.000
23.48,sys3,4.19,465.8,90.97,1.000
23.5,sys4,0.85,442.6,86.45,1.000
23.51,sys2,14.73,243.4,47.53,1.000
24.48,sys1,15.76,483.3,94.39,1.000
24.48,sys3,3.48,465.8,90.97,1.000
24.5,sys4,0.81,442.6,86.45,1.000
24.51,sys2,23.78,243.9,47.63,1.000
25.48,sys1,12.09,482.1,94.16,1.000
25.48,sys3,9.36,465.8,90.97,1.000
25.5,sys4,0.81,442.6,86.45,1.000
25.52,sys2,25.20,243.4,47.53,1.000
