t,system,cpu_pct,mem_mb,mem_pct,quota_cores
1.21,sys1,4.23,476.3,93.03,1.000
1.21,sys2,0.83,239.9,46.85,1.000
1.21,sys3,0.03,468.2,91.44,1.000
1.21,sys4,0.74,439.3,85.80,1.000
2.21,sys1,6.32,477.4,93.24,1.000
2.21,sys2,3.30,240.1,46.89,1.000
2.21,sys4,0.74,438.8,85.70,1.000
2.22,sys3,1.43,468.1,91.43,1.000
3.21,sys4,0.66,438.8,85.70,1.000
3.22,sys1,36.12,479.7,93.70,1.000
3.22,sys2,49.97,242.1,47.28,1.000
3.22,sys3,9.89,468.3,91.47,1.000
4.22,sys1,29.27,479.1,93.56,1.000
4.22,sys2,36.15,243.0,47.46,1.000
4.22,sys3,14.06,468.6,91.52,1.000
4.22,sys4,0.65,439.0,85.74,1.000
5.22,sys1,16.97,478.7,93.50,1.000
5.22,sys2,27.53,241.2,47.12,1.000
5.22,sys3,10.76,468.2,91.44,1.000
5.22,sys4,0.71,439.0,85.74,1.000
6.22,sys1,19.33,478.8,93.52,1.000
6.22,sys2,25.68,241.0,47.07,1.000
6.22,sys3,9.94,468.1,91.43,1.000
6.22,sys4,1.70,439.4,85.83,1.000
7.22,sys4,0.72,439.2,85.78,1.000
7.23,sys1,12.77,479.8,93.71,1.000
7.23,sys2,28.27,241.1,47.09,1.000
7.23,sys3,13.79,468.1,91.43,1.000
8.22,sys4,0.65,439.2,85.78,1.000
8.23,sys1,25.25,478.6,93.48,1.000
8.23,sys2,30.32,241.3,47.13,1.000
8.23,sys3,5.55,468.2,91.44,1.000
9.23,sys1,20.81,478.8,93.52,1.000
9.23,sys2,33.35,242.9,47.45,1.000
9.23,sys3,15.77,468.2,91.44,1.000
9.23,sys4,0.67,439.2,85.78,1.000
10.23,sys2,31.23,241.6,47.19,1.000
10.23,sys3,13.11,468.2,91.44,1.000
10.23,sys4,0.62,439.2,85.78,1.000
10.24,sys1,23.63,479.8,93.72,1.000
11.23,sys2,12.81,241.1,47.08,1.000
11.23,sys4,0.62,439.0,85.74,1.000
11.24,sys1,8.87,479.0,93.56,1.000
11.24,sys3,3.60,468.4,91.48,1.000
12.23,sys2,11.66,241.0,47.08,1.000
12.23,sys4,1.25,439.0,85.74,1.000
12.24,sys1,5.97,478.9,93.53,1.000
