t,system,cpu_pct,mem_mb,mem_pct,quota_cores
1.23,sys2,0.26,243.9,47.64,1.000
1.24,sys1,1.07,474.3,92.63,1.000
1.24,sys3,0.29,509.9,99.59,1.000
1.24,sys4,1.24,480.6,93.88,1.000
2.23,sys2,0.34,243.9,47.63,1.000
2.24,sys1,0.49,474.3,92.63,1.000
2.24,sys3,0.25,510.1,99.63,1.000
2.24,sys4,0.81,480.6,93.87,1.000
3.23,sys2,4.95,242.9,47.44,1.000
3.24,sys3,26.61,510.2,99.64,1.000
3.25,sys1,12.18,475.7,92.90,1.000
3.25,sys4,5.29,480.6,93.87,1.000
4.23,sys2,3.23,242.9,47.44,1.000
4.24,sys3,25.82,510.2,99.64,1.000
4.25,sys1,8.52,476.3,93.03,1.000
4.25,sys4,4.31,480.6,93.87,1.000
5.24,sys2,0.78,242.7,47.40,1.000
5.25,sys1,6.38,477.1,93.19,1.000
5.25,sys3,12.98,510.1,99.62,1.000
5.26,sys4,2.34,481.2,93.98,1.000
6.24,sys2,2.14,242.2,47.30,1.000
6.25,sys1,7.68,475.4,92.86,1.000
6.25,sys3,16.49,510.4,99.69,1.000
6.26,sys4,7.12,481.4,94.02,1.000
7.24,sys2,1.24,241.9,47.25,1.000
7.25,sys1,8.18,475.3,92.84,1.000
7.25,sys3,14.05,510.2,99.65,1.000
7.26,sys4,2.68,480.1,93.76,1.000
8.24,sys2,3.88,242.3,47.33,1.000
8.25,sys3,23.59,510.2,99.66,1.000
8.26,sys1,10.98,476.0,92.97,1.000
8.27,sys4,7.51,480.7,93.89,1.000
9.25,sys2,2.50,242.2,47.30,1.000
9.25,sys3,25.91,511.3,99.86,1.000
9.26,sys1,9.97,475.6,92.89,1.000
9.27,sys4,4.46,480.3,93.81,1.000
10.25,sys2,5.02,242.7,47.41,1.000
10.25,sys3,34.35,509.5,99.51,1.000
10.26,sys1,12.84,475.5,92.87,1.000
10.28,sys4,5.04,480.6,93.86,1.000
11.25,sys2,1.16,242.8,47.41,1.000
11.25,sys3,11.06,509.7,99.56,1.000
11.26,sys1,7.45,474.8,92.74,1.000
11.28,sys4,2.11,480.7,93.88,1.000
12.25,sys2,1.47,242.3,47.33,1.000
12.26,sys1,7.10,475.3,92.82,1.000
12.26,sys3,18.69,509.4,99.49,1.000
12.28,sys4,5.30,480.2,93.80,1.000
13.25,sys2,4.04,242.9,47.44,1.000
13.26,sys3,16.12,509.7,99.56,1.000
13.27,sys1,9.81,476.5,93.06,1.000
13.28,sys4,2.71,480.3,93.80,1.000
14.25,sys2,0.52,242.9,47.45,1.000
14.27,sys1,5.22,475.0,92.78,1.000
14.27,sys3,14.09,509.5,99.52,1.000
14.28,sys4,1.44,480.3,93.81,1.000
15.25,sys2,1.92,242.8,47.42,1.000
15.27,sys1,9.72,476.8,93.12,1.000
15.27,sys3,25.13,509.5,99.51,1.000
15.29,sys4,2.74,480.4,93.82,1.000
16.26,sys2,0.80,242.8,47.42,1.000
16.27,sys3,16.75,509.9,99.58,1.000
16.28,sys1,6.02,476.1,92.98,1.000
16.29,sys4,2.87,480.4,93.83,1.000
17.26,sys2,2.45,242.8,47.41,1.000
17.27,sys3,3.44,509.2,99.46,1.000
17.28,sys1,1.93,476.0,92.98,1.000
17.29,sys4,1.05,480.4,93.83,1.000
