t,system,cpu_pct,mem_mb,mem_pct,quota_cores
1.19,sys1,0.34,503.5,98.34,1.000
1.2,sys2,0.08,238.4,46.56,1.000
1.2,sys3,0.07,468.0,91.40,1.000
1.2,sys4,0.56,439.8,85.90,1.000
2.2,sys1,0.50,503.5,98.34,1.000
2.2,sys2,0.63,238.4,46.56,1.000
2.2,sys3,0.08,468.0,91.40,1.000
2.2,sys4,0.62,439.6,85.85,1.000
3.2,sys1,57.51,505.6,98.76,1.000
3.2,sys2,85.00,239.9,46.85,1.000
3.2,sys3,23.27,467.9,91.39,1.000
3.2,sys4,1.66,439.6,85.86,1.000
4.2,sys1,44.77,505.6,98.75,1.000
4.2,sys2,49.09,240.1,46.89,1.000
4.2,sys3,12.63,468.1,91.43,1.000
4.2,sys4,0.65,439.6,85.86,1.000
5.2,sys1,58.17,505.6,98.74,1.000
5.2,sys2,74.91,240.6,47.00,1.000
5.2,sys3,18.69,468.0,91.41,1.000
5.2,sys4,0.71,439.6,85.85,1.000
6.2,sys1,52.51,506.4,98.91,1.000
6.2,sys2,88.06,241.1,47.09,1.000
6.21,sys3,18.18,468.3,91.47,1.000
6.21,sys4,0.60,439.3,85.80,1.000
7.2,sys2,94.16,241.1,47.09,1.000
7.21,sys1,66.40,505.4,98.71,1.000
7.21,sys3,22.75,468.3,91.47,1.000
7.21,sys4,0.64,439.3,85.80,1.000
8.21,sys1,56.29,505.4,98.71,1.000
8.21,sys2,72.65,240.6,46.98,1.000
8.21,sys3,15.73,468.4,91.48,1.000
8.21,sys4,0.55,439.3,85.80,1.000
9.21,sys1,54.33,506.9,99.01,1.000
9.21,sys2,88.94,240.8,47.03,1.000
9.21,sys3,22.35,468.1,91.43,1.000
9.21,sys4,0.63,439.3,85.80,1.000
10.21,sys1,47.58,506.5,98.93,1.000
10.21,sys2,73.06,240.1,46.89,1.000
10.21,sys3,20.09,468.2,91.45,1.000
10.21,sys4,0.59,439.3,85.80,1.000
11.21,sys2,95.31,240.7,47.02,1.000
11.21,sys3,34.91,468.3,91.47,1.000
11.21,sys4,0.70,439.3,85.80,1.000
11.22,sys1,63.51,506.6,98.95,1.000
12.21,sys2,82.41,240.7,47.01,1.000
12.21,sys4,0.64,439.3,85.80,1.000
12.22,sys1,47.91,506.8,98.98,1.000
12.22,sys3,20.90,468.3,91.47,1.000
13.21,sys4,0.59,439.3,85.80,1.000
13.22,sys1,54.71,506.5,98.93,1.000
13.22,sys2,72.80,240.7,47.02,1.000
13.22,sys3,15.40,468.4,91.49,1.000
14.22,sys1,45.35,506.2,98.87,1.000
14.22,sys2,91.86,240.0,46.88,1.000
14.22,sys3,18.70,468.6,91.53,1.000
14.22,sys4,0.67,439.3,85.80,1.000
15.22,sys1,50.67,506.3,98.90,1.000
15.22,sys2,73.75,240.2,46.91,1.000
15.22,sys3,15.82,468.5,91.50,1.000
15.22,sys4,0.58,439.3,85.80,1.000
16.22,sys1,63.80,507.3,99.09,1.000
16.22,sys2,87.90,241.2,47.12,1.000
16.22,sys3,16.06,468.5,91.50,1.000
16.22,sys4,0.62,439.3,85.80,1.000
17.22,sys1,52.20,505.7,98.77,1.000
17.22,sys2,78.07,243.4,47.54,1.000
17.22,sys3,16.38,468.5,91.51,1.000
17.22,sys4,0.61,439.3,85.80,1.000
18.22,sys2,81.70,242.8,47.41,1.000
18.22,sys3,15.08,468.6,91.52,1.000
18.22,sys4,0.62,439.3,85.80,1.000
18.23,sys1,60.08,506.0,98.83,1.000
19.22,sys3,14.54,468.9,91.58,1.000
