t,system,cpu_pct,mem_mb,mem_pct,quota_cores
1.06,sys1,0.51,486.3,94.97,1.000
1.06,sys3,0.97,482.4,94.22,1.000
1.06,sys4,0.66,439.3,85.80,1.000
1.08,sys2,0.68,240.3,46.93,1.000
2.06,sys1,0.64,486.2,94.97,1.000
2.06,sys3,1.21,482.6,94.25,1.000
2.06,sys4,2.43,439.4,85.83,1.000
2.08,sys2,0.52,240.4,46.95,1.000
3.06,sys1,11.60,477.4,93.24,1.000
3.06,sys3,31.75,493.5,96.38,1.000
3.06,sys4,0.65,439.3,85.80,1.000
3.08,sys2,6.37,239.8,46.84,1.000
4.06,sys1,3.85,477.4,93.25,1.000
4.06,sys3,17.23,494.5,96.58,1.000
4.06,sys4,0.64,439.2,85.79,1.000
4.08,sys2,1.08,239.9,46.85,1.000
5.06,sys1,9.17,477.5,93.25,1.000
5.06,sys3,14.58,494.9,96.67,1.000
5.06,sys4,0.81,439.2,85.79,1.000
5.08,sys2,0.40,239.9,46.85,1.000
6.06,sys1,7.38,477.6,93.27,1.000
6.06,sys3,17.24,491.7,96.04,1.000
6.06,sys4,0.67,439.2,85.79,1.000
6.08,sys2,0.66,239.9,46.85,1.000
7.06,sys3,17.11,493.4,96.37,1.000
7.06,sys4,0.67,439.2,85.79,1.000
7.07,sys1,10.80,477.4,93.25,1.000
7.09,sys2,1.50,240.6,46.98,1.000
8.06,sys3,12.81,493.5,96.39,1.000
8.06,sys4,0.70,438.9,85.72,1.000
8.07,sys1,5.88,477.8,93.32,1.000
8.09,sys2,0.88,240.6,46.98,1.000
9.06,sys3,11.50,493.8,96.44,1.000
9.06,sys4,0.79,439.2,85.77,1.000
9.07,sys1,3.69,477.7,93.30,1.000
9.09,sys2,1.57,240.4,46.96,1.000
10.06,sys3,19.73,494.2,96.53,1.000
10.07,sys1,10.91,478.2,93.40,1.000
10.07,sys4,0.68,439.2,85.77,1.000
10.09,sys2,1.17,240.5,46.98,1.000
11.06,sys3,9.96,494.6,96.60,1.000
11.07,sys1,3.55,478.0,93.37,1.000
11.07,sys4,0.70,439.2,85.77,1.000
11.09,sys2,1.25,240.5,46.98,1.000
12.06,sys3,17.45,495.1,96.71,1.000
12.07,sys1,10.34,478.1,93.39,1.000
12.07,sys4,0.71,439.2,85.77,1.000
12.09,sys2,1.12,240.6,47.00,1.000
13.06,sys3,13.50,495.5,96.78,1.000
13.07,sys1,4.45,477.9,93.34,1.000
13.07,sys4,0.71,439.2,85.77,1.000
13.09,sys2,2.78,240.4,46.95,1.000
14.07,sys1,3.31,478.1,93.38,1.000
14.07,sys3,13.70,495.5,96.78,1.000
14.07,sys4,0.64,439.2,85.77,1.000
14.09,sys2,1.78,239.9,46.86,1.000
15.07,sys1,1.97,478.0,93.35,1.000
15.07,sys3,7.07,495.8,96.84,1.000
15.07,sys4,0.67,439.2,85.77,1.000
15.09,sys2,0.57,240.0,46.87,1.000
16.07,sys1,1.73,477.4,93.24,1.000
16.07,sys3,3.34,496.1,96.89,1.000
16.07,sys4,0.67,439.2,85.77,1.000
16.09,sys2,0.93,240.0,46.88,1.000
17.07,sys1,2.09,477.5,93.26,1.000
17.07,sys3,6.01,496.3,96.93,1.000
17.07,sys4,0.67,439.0,85.74,1.000
17.09,sys2,1.01,240.1,46.90,1.000
18.07,sys3,12.47,496.9,97.04,1.000
18.07,sys4,0.68,438.7,85.69,1.000
18.08,sys1,5.66,477.4,93.25,1.000
18.1,sys2,1.16,240.1,46.90,1.000
19.07,sys3,17.08,497.5,97.16,1.000
19.07,sys4,0.75,439.0,85.74,1.000
19.08,sys1,9.53,477.8,93.32,1.000
19.1,sys2,1.62,239.8,46.84,1.000
20.07,sys3,14.19,497.8,97.22,1.000
20.07,sys4,0.69,439.0,85.74,1.000
20.08,sys1,6.61,477.5,93.25,1.000
20.1,sys2,0.70,239.9,46.85,1.000
21.07,sys3,17.18,498.2,97.31,1.000
21.07,sys4,0.69,439.0,85.74,1.000
21.08,sys1,6.93,477.9,93.33,1.000
21.1,sys2,0.52,239.9,46.85,1.000
22.07,sys4,1.63,439.0,85.74,1.000
22.08,sys1,11.56,477.5,93.26,1.000
22.08,sys3,14.11,498.3,97.32,1.000
22.1,sys2,1.75,240.1,46.89,1.000
23.08,sys1,4.14,477.5,93.26,1.000
23.08,sys3,11.62,498.8,97.42,1.000
23.08,sys4,0.63,439.0,85.74,1.000
23.1,sys2,1.35,240.2,46.91,1.000
24.08,sys1,3.09,477.5,93.26,1.000
24.08,sys3,15.26,498.9,97.45,1.000
24.08,sys4,0.67,439.0,85.74,1.000
24.1,sys2,4.72,240.2,46.92,1.000
25.08,sys1,8.18,477.6,93.27,1.000
25.08,sys3,13.01,499.2,97.50,1.000
25.08,sys4,0.74,439.0,85.74,1.000
25.1,sys2,1.57,240.1,46.89,1.000
26.08,sys1,8.80,478.0,93.37,1.000
26.08,sys3,14.21,499.5,97.56,1.000
26.08,sys4,0.70,439.0,85.74,1.000
26.1,sys2,0.93,240.1,46.90,1.000
27.08,sys1,6.25,477.4,93.25,1.000
27.08,sys3,15.25,500.4,97.74,1.000
27.08,sys4,0.65,438.7,85.69,1.000
27.1,sys2,0.99,240.2,46.91,1.000
28.08,sys1,11.21,477.5,93.27,1.000
28.08,sys3,17.11,501.3,97.91,1.000
28.08,sys4,0.70,439.0,85.74,1.000
28.1,sys2,1.55,240.3,46.93,1.000
29.08,sys3,16.73,501.1,97.87,1.000
29.09,sys1,6.83,477.5,93.27,1.000
29.09,sys4,0.67,439.0,85.74,1.000
29.11,sys2,2.60,240.5,46.98,1.000
30.08,sys3,16.73,501.6,97.97,1.000
30.09,sys1,5.27,477.8,93.33,1.000
30.09,sys4,0.68,439.0,85.74,1.000
30.11,sys2,2.06,240.6,47.00,1.000
31.08,sys3,13.92,501.5,97.95,1.000
31.09,sys1,2.66,478.1,93.38,1.000
31.09,sys4,0.67,439.0,85.74,1.000
31.11,sys2,1.19,240.7,47.01,1.000
32.09,sys1,4.35,477.8,93.32,1.000
32.09,sys3,11.31,501.9,98.02,1.000
32.09,sys4,0.70,439.0,85.74,1.000
32.11,sys2,1.05,240.3,46.94,1.000
33.09,sys1,3.04,477.7,93.31,1.000
33.09,sys3,9.98,502.2,98.08,1.000
33.09,sys4,0.69,439.0,85.74,1.000
