t,system,cpu_pct,mem_mb,mem_pct,quota_cores
1.53,sys1,0.65,483.0,94.33,1.000
1.53,sys3,0.35,468.5,91.50,1.000
1.53,sys4,0.81,442.6,86.44,1.000
1.54,sys2,0.60,244.6,47.77,1.000
2.53,sys1,11.57,488.3,95.38,1.000
2.54,sys2,12.81,243.6,47.58,1.000
2.54,sys3,3.93,468.5,91.50,1.000
2.54,sys4,0.76,442.6,86.45,1.000
3.54,sys1,75.14,496.0,96.87,1.000
3.54,sys2,85.27,247.7,48.37,1.000
3.54,sys3,17.31,468.3,91.47,1.000
3.54,sys4,0.76,442.1,86.36,1.000
4.54,sys1,74.45,498.1,97.28,1.000
4.54,sys3,21.32,468.3,91.47,1.000
4.54,sys4,0.73,442.1,86.36,1.000
4.55,sys2,87.95,246.8,48.21,1.000
5.54,sys1,53.09,496.6,96.99,1.000
5.54,sys3,23.35,468.7,91.53,1.000
5.54,sys4,0.75,442.1,86.36,1.000
5.55,sys2,64.87,248.3,48.50,1.000
6.54,sys1,40.30,497.7,97.20,1.000
6.54,sys3,14.71,468.4,91.49,1.000
6.54,sys4,0.90,442.1,86.36,1.000
6.56,sys2,55.64,245.7,47.99,1.000
7.54,sys1,44.29,499.6,97.58,1.000
7.54,sys3,13.29,468.7,91.54,1.000
7.54,sys4,0.89,442.4,86.40,1.000
7.56,sys2,50.88,248.1,48.45,1.000
8.54,sys3,18.71,468.5,91.50,1.000
8.54,sys4,0.87,442.4,86.40,1.000
8.55,sys1,55.70,495.8,96.83,1.000
8.56,sys2,67.99,246.5,48.14,1.000
9.54,sys3,16.27,468.8,91.56,1.000
9.55,sys1,63.43,498.0,97.26,1.000
9.55,sys4,0.73,442.1,86.36,1.000
9.56,sys2,94.96,247.5,48.35,1.000
10.54,sys3,25.02,468.8,91.57,1.000
10.55,sys1,48.67,498.4,97.34,1.000
10.55,sys4,0.89,442.4,86.40,1.000
10.56,sys2,87.85,247.3,48.31,1.000
11.54,sys3,22.38,469.1,91.62,1.000
11.55,sys1,61.77,498.9,97.43,1.000
11.55,sys4,0.78,442.4,86.40,1.000
11.56,sys2,63.08,245.9,48.02,1.000
12.54,sys3,17.10,469.1,91.62,1.000
12.55,sys4,0.78,442.1,86.36,1.000
12.56,sys1,35.86,502.1,98.08,1.000
12.56,sys2,62.37,247.8,48.40,1.000
13.54,sys3,8.98,468.9,91.58,1.000
13.55,sys4,0.92,442.4,86.41,1.000
13.56,sys1,23.91,497.1,97.09,1.000
13.56,sys2,30.63,247.1,48.26,1.000
14.54,sys3,20.42,469.0,91.60,1.000
14.55,sys4,0.72,442.4,86.40,1.000
14.56,sys1,67.86,500.7,97.79,1.000
14.57,sys2,93.66,246.2,48.09,1.000
15.55,sys3,24.68,469.1,91.62,1.000
15.55,sys4,0.74,442.1,86.35,1.000
15.56,sys1,78.78,495.4,96.75,1.000
15.57,sys2,79.92,245.6,47.98,1.000
16.55,sys3,27.69,469.0,91.61,1.000
16.55,sys4,0.82,442.1,86.36,1.000
16.56,sys1,37.70,497.7,97.20,1.000
16.57,sys2,82.55,247.9,48.43,1.000
17.55,sys3,19.38,469.0,91.61,1.000
17.56,sys1,44.65,500.7,97.79,1.000
17.56,sys4,0.81,442.4,86.40,1.000
17.57,sys2,65.41,246.0,48.04,1.000
18.55,sys3,11.01,469.0,91.61,1.000
18.56,sys4,0.77,442.1,86.36,1.000
18.57,sys1,16.97,500.3,97.71,1.000
18.58,sys2,33.24,246.0,48.04,1.000
19.55,sys3,13.37,469.0,91.60,1.000
19.56,sys4,1.79,442.4,86.40,1.000
19.57,sys1,48.97,500.9,97.83,1.000
19.58,sys2,50.41,246.8,48.20,1.000
20.55,sys3,10.22,469.1,91.62,1.000
20.56,sys4,0.76,442.4,86.40,1.000
20.57,sys1,64.23,498.5,97.36,1.000
20.58,sys2,70.28,251.6,49.14,1.000
21.55,sys3,16.06,469.1,91.62,1.000
21.56,sys4,0.72,442.1,86.36,1.000
21.57,sys1,33.36,500.2,97.69,1.000
21.58,sys2,32.12,246.0,48.04,1.000
22.56,sys3,12.52,469.3,91.66,1.000
22.56,sys4,0.84,442.4,86.40,1.000
22.57,sys1,67.22,504.7,98.57,1.000
22.59,sys2,72.03,248.2,48.47,1.000
23.56,sys3,20.82,469.4,91.68,1.000
23.56,sys4,0.77,442.4,86.40,1.000
23.57,sys1,63.19,502.7,98.18,1.000
23.59,sys2,79.54,248.7,48.58,1.000
24.56,sys3,13.67,469.0,91.59,1.000
24.57,sys4,0.70,442.1,86.36,1.000
24.58,sys1,40.92,501.1,97.87,1.000
24.59,sys2,57.91,246.8,48.19,1.000
25.56,sys3,8.71,469.2,91.64,1.000
25.57,sys4,0.82,442.1,86.36,1.000
25.58,sys1,17.67,502.3,98.11,1.000
25.6,sys2,31.70,246.2,48.09,1.000
26.56,sys3,12.35,469.5,91.69,1.000
26.57,sys4,0.82,442.4,86.40,1.000
26.58,sys1,21.96,502.4,98.12,1.000
26.6,sys2,36.60,246.1,48.07,1.000
27.56,sys3,25.89,469.2,91.64,1.000
27.57,sys4,0.72,442.1,86.36,1.000
27.58,sys1,60.79,504.4,98.51,1.000
27.6,sys2,91.70,245.7,47.98,1.000
28.56,sys3,13.92,469.0,91.61,1.000
28.58,sys4,0.83,442.4,86.40,1.000
28.59,sys1,96.20,500.1,97.68,1.000
28.6,sys2,94.65,246.5,48.14,1.000
29.56,sys3,14.02,469.3,91.66,1.000
29.58,sys4,0.91,442.1,86.35,1.000
29.59,sys1,82.89,500.9,97.83,1.000
29.61,sys2,100.25,246.8,48.21,1.000
30.57,sys3,16.98,469.6,91.72,1.000
30.58,sys4,0.66,442.1,86.35,1.000
30.59,sys1,60.98,503.4,98.33,1.000
30.61,sys2,90.84,248.1,48.46,1.000
31.57,sys3,9.42,469.6,91.72,1.000
31.58,sys4,0.70,442.1,86.35,1.000
31.59,sys1,37.01,503.4,98.32,1.000
31.61,sys2,50.46,247.6,48.35,1.000
32.57,sys3,13.88,469.4,91.67,1.000
32.58,sys4,1.21,442.1,86.35,1.000
32.59,sys1,56.13,504.7,98.57,1.000
32.61,sys2,66.81,248.3,48.50,1.000
33.57,sys3,18.23,469.4,91.68,1.000
33.58,sys4,0.71,441.9,86.31,1.000
33.59,sys1,58.08,503.5,98.35,1.000
33.61,sys2,66.12,249.5,48.74,1.000
34.57,sys3,10.64,469.4,91.69,1.000
34.58,sys4,0.74,442.1,86.36,1.000
34.6,sys1,20.63,503.5,98.34,1.000
34.62,sys2,32.81,246.9,48.23,1.000
