t,system,cpu_pct,mem_mb,mem_pct,quota_cores
1.08,sys1,0.34,470.2,91.84,1.000
1.08,sys2,0.17,240.4,46.95,1.000
1.08,sys3,0.07,465.7,90.95,1.000
1.09,sys4,0.70,439.2,85.78,1.000
2.08,sys1,0.35,470.0,91.79,1.000
2.08,sys3,0.13,465.7,90.96,1.000
2.09,sys2,0.16,240.4,46.94,1.000
2.09,sys4,0.72,439.0,85.74,1.000
3.09,sys1,15.35,471.2,92.03,1.000
3.09,sys2,30.37,241.6,47.18,1.000
3.09,sys3,9.64,465.7,90.96,1.000
3.09,sys4,0.75,439.2,85.78,1.000
4.09,sys1,19.08,471.8,92.14,1.000
4.09,sys2,34.16,242.1,47.28,1.000
4.09,sys3,10.04,465.7,90.96,1.000
4.09,sys4,0.75,439.2,85.78,1.000
5.09,sys1,7.05,471.3,92.05,1.000
5.09,sys2,18.04,241.7,47.21,1.000
5.09,sys3,9.96,465.7,90.96,1.000
5.1,sys4,0.72,439.0,85.74,1.000
6.09,sys1,13.40,472.2,92.23,1.000
6.09,sys2,19.81,242.0,47.26,1.000
6.09,sys3,6.86,465.7,90.96,1.000
6.1,sys4,0.74,439.0,85.74,1.000
7.09,sys1,17.64,471.9,92.16,1.000
7.1,sys2,36.35,242.5,47.36,1.000
7.1,sys3,10.67,465.7,90.96,1.000
7.11,sys4,0.70,439.0,85.74,1.000
8.09,sys1,14.67,472.0,92.19,1.000
8.1,sys2,28.22,242.1,47.28,1.000
8.1,sys3,9.53,465.7,90.96,1.000
8.11,sys4,0.64,439.0,85.74,1.000
9.09,sys1,9.63,471.1,92.00,1.000
9.1,sys2,23.69,242.9,47.43,1.000
9.1,sys3,7.90,465.8,90.97,1.000
9.11,sys4,0.70,439.0,85.74,1.000
10.1,sys1,11.26,472.1,92.20,1.000
10.1,sys2,25.50,242.1,47.28,1.000
10.1,sys3,10.32,466.0,91.01,1.000
10.11,sys4,0.71,439.0,85.74,1.000
11.1,sys1,17.45,471.7,92.12,1.000
11.1,sys2,37.70,242.3,47.32,1.000
11.1,sys3,17.41,466.0,91.02,1.000
