t,system,cpu_pct,mem_mb,mem_pct,quota_cores
1.18,sys1,0.55,498.7,97.41,1.000
1.18,sys4,0.68,439.5,85.83,1.000
1.2,sys2,0.47,239.3,46.74,1.000
1.2,sys3,0.09,462.8,90.40,1.000
2.18,sys1,0.51,498.5,97.37,1.000
2.18,sys4,0.72,439.3,85.81,1.000
2.2,sys2,1.51,238.3,46.54,1.000
2.2,sys3,0.22,462.8,90.40,1.000
3.18,sys1,31.22,499.5,97.57,1.000
3.19,sys4,0.73,439.3,85.80,1.000
3.2,sys2,45.83,239.3,46.74,1.000
3.2,sys3,11.41,463.0,90.44,1.000
4.18,sys1,25.04,500.4,97.73,1.000
4.19,sys4,0.68,439.3,85.80,1.000
4.2,sys2,30.52,240.0,46.88,1.000
4.2,sys3,11.77,462.9,90.40,1.000
5.19,sys1,31.45,500.1,97.67,1.000
5.19,sys4,0.65,439.3,85.80,1.000
5.2,sys2,54.31,239.8,46.83,1.000
5.2,sys3,12.64,463.1,90.45,1.000
6.19,sys1,34.73,500.2,97.70,1.000
6.19,sys4,0.65,439.3,85.80,1.000
6.2,sys2,43.91,239.3,46.74,1.000
6.21,sys3,12.37,463.3,90.49,1.000
7.19,sys1,25.25,499.6,97.58,1.000
7.19,sys4,0.59,439.3,85.80,1.000
7.21,sys2,38.94,239.6,46.79,1.000
7.21,sys3,10.27,463.3,90.49,1.000
8.19,sys1,16.82,498.8,97.43,1.000
8.19,sys4,0.70,439.3,85.80,1.000
8.21,sys2,31.11,239.3,46.74,1.000
8.21,sys3,13.38,463.4,90.51,1.000
9.2,sys1,18.43,499.5,97.56,1.000
9.2,sys4,0.69,439.3,85.80,1.000
9.21,sys2,35.72,239.5,46.78,1.000
9.21,sys3,12.72,463.5,90.53,1.000
10.2,sys1,26.79,499.8,97.62,1.000
10.2,sys4,1.65,439.3,85.80,1.000
10.21,sys2,46.10,239.3,46.74,1.000
10.22,sys3,10.90,463.5,90.53,1.000
11.2,sys1,23.04,499.9,97.63,1.000
11.2,sys4,0.59,439.3,85.80,1.000
11.21,sys2,30.40,239.5,46.78,1.000
11.22,sys3,12.21,463.2,90.47,1.000
12.2,sys1,18.41,500.4,97.74,1.000
12.21,sys2,44.47,239.3,46.73,1.000
12.21,sys4,0.63,439.3,85.80,1.000
12.22,sys3,20.47,463.0,90.42,1.000
13.21,sys1,18.01,500.2,97.69,1.000
13.21,sys2,26.29,239.8,46.83,1.000
13.21,sys4,0.67,439.3,85.80,1.000
13.22,sys3,13.74,463.1,90.45,1.000
14.21,sys1,20.67,499.9,97.64,1.000
14.21,sys2,46.60,239.5,46.78,1.000
14.21,sys4,0.65,439.3,85.80,1.000
14.22,sys3,19.70,463.3,90.48,1.000
15.21,sys1,20.45,500.9,97.83,1.000
15.21,sys2,40.81,239.3,46.73,1.000
15.21,sys4,0.65,439.3,85.80,1.000
15.22,sys3,18.53,463.3,90.48,1.000
16.21,sys1,32.36,499.8,97.62,1.000
16.21,sys2,44.88,239.3,46.73,1.000
16.21,sys4,0.63,439.3,85.80,1.000
16.22,sys3,20.11,463.3,90.48,1.000
17.21,sys1,18.32,499.7,97.60,1.000
17.21,sys4,0.66,439.3,85.80,1.000
17.22,sys2,32.96,239.3,46.73,1.000
17.23,sys3,10.47,463.1,90.45,1.000
18.21,sys1,21.67,500.0,97.65,1.000
18.21,sys4,0.79,439.3,85.80,1.000
18.22,sys2,35.06,239.8,46.83,1.000
18.23,sys3,18.55,463.4,90.50,1.000
19.21,sys1,30.06,499.9,97.63,1.000
19.21,sys4,0.78,439.3,85.80,1.000
19.22,sys2,42.34,239.3,46.73,1.000
19.23,sys3,15.54,463.5,90.53,1.000
20.21,sys4,0.69,439.3,85.80,1.000
20.22,sys1,20.24,500.3,97.71,1.000
20.22,sys2,41.11,239.2,46.73,1.000
20.23,sys3,16.49,463.4,90.52,1.000
21.22,sys1,21.23,500.3,97.71,1.000
21.22,sys2,40.10,239.8,46.83,1.000
21.22,sys4,0.70,439.3,85.80,1.000
21.23,sys3,12.94,463.3,90.48,1.000
22.22,sys1,29.46,500.1,97.68,1.000
22.22,sys2,45.51,239.7,46.82,1.000
22.22,sys4,0.59,439.3,85.80,1.000
22.24,sys3,13.14,463.3,90.48,1.000
23.22,sys1,30.62,499.8,97.61,1.000
23.22,sys2,52.29,239.7,46.82,1.000
23.22,sys4,0.66,439.3,85.80,1.000
23.24,sys3,19.57,463.3,90.50,1.000
24.22,sys1,26.71,500.3,97.72,1.000
24.22,sys4,0.65,439.3,85.80,1.000
24.23,sys2,42.83,239.2,46.73,1.000
