t,system,cpu_pct,mem_mb,mem_pct,quota_cores
1.58,sys2,1.59,242.2,47.30,1.000
1.58,sys3,0.84,485.2,94.77,1.000
1.59,sys1,2.43,472.8,92.34,1.000
1.59,sys4,0.79,442.2,86.36,1.000
2.58,sys2,2.68,241.6,47.19,1.000
2.58,sys3,4.89,485.3,94.79,1.000
2.59,sys1,2.60,474.3,92.63,1.000
2.59,sys4,0.84,442.4,86.41,1.000
3.58,sys2,4.53,241.6,47.18,1.000
3.58,sys3,2.16,485.6,94.84,1.000
3.59,sys1,3.53,473.7,92.51,1.000
3.59,sys4,0.78,442.4,86.41,1.000
4.58,sys3,1.94,485.4,94.80,1.000
4.59,sys2,2.48,241.6,47.19,1.000
4.59,sys4,2.80,442.2,86.36,1.000
4.6,sys1,1.08,473.7,92.51,1.000
5.58,sys3,3.11,485.4,94.81,1.000
5.59,sys2,3.44,241.9,47.25,1.000
5.6,sys4,0.97,442.2,86.36,1.000
5.61,sys1,2.47,473.6,92.51,1.000
6.58,sys3,3.52,485.2,94.77,1.000
6.59,sys2,9.35,241.8,47.22,1.000
6.6,sys4,0.76,442.2,86.36,1.000
6.61,sys1,5.89,474.0,92.57,1.000
7.59,sys2,4.16,242.1,47.29,1.000
7.59,sys3,3.00,485.2,94.76,1.000
7.6,sys4,0.86,442.2,86.36,1.000
7.61,sys1,4.21,473.5,92.48,1.000
8.59,sys2,2.63,242.5,47.37,1.000
8.59,sys3,2.93,485.4,94.81,1.000
8.61,sys1,2.70,474.3,92.63,1.000
8.61,sys4,0.84,442.4,86.41,1.000
9.59,sys2,5.44,243.2,47.49,1.000
9.59,sys3,3.38,485.4,94.81,1.000
9.61,sys4,0.81,442.2,86.36,1.000
9.62,sys1,2.72,474.7,92.71,1.000
10.59,sys2,2.58,243.2,47.51,1.000
10.59,sys3,2.05,485.4,94.80,1.000
10.61,sys4,0.83,442.2,86.36,1.000
10.62,sys1,1.40,473.9,92.56,1.000
11.59,sys3,0.86,485.4,94.81,1.000
11.6,sys2,1.92,243.5,47.56,1.000
11.61,sys4,0.77,442.4,86.41,1.000
11.63,sys1,2.65,473.7,92.52,1.000
12.6,sys2,5.06,243.5,47.55,1.000
12.6,sys3,3.19,485.7,94.86,1.000
12.61,sys4,0.75,442.4,86.40,1.000
12.63,sys1,4.21,474.2,92.62,1.000
13.6,sys2,4.05,243.3,47.52,1.000
13.6,sys3,3.70,486.1,94.95,1.000
13.61,sys4,0.82,442.1,86.35,1.000
13.63,sys1,1.43,473.4,92.46,1.000
14.6,sys2,5.99,243.2,47.50,1.000
14.6,sys3,5.85,485.9,94.90,1.000
14.61,sys4,0.81,442.1,86.35,1.000
14.63,sys1,2.87,474.1,92.60,1.000
15.6,sys3,1.90,486.1,94.95,1.000
15.61,sys2,7.17,243.7,47.60,1.000
15.62,sys4,0.76,442.1,86.35,1.000
15.63,sys1,2.74,473.9,92.55,1.000
16.6,sys3,3.94,485.9,94.90,1.000
16.61,sys2,6.41,243.2,47.50,1.000
16.62,sys4,0.73,442.1,86.35,1.000
16.64,sys1,2.58,474.5,92.68,1.000
17.61,sys2,7.60,243.5,47.55,1.000
17.61,sys3,6.54,485.9,94.91,1.000
17.62,sys4,0.73,442.4,86.40,1.000
17.64,sys1,5.55,473.6,92.49,1.000
18.61,sys2,6.08,243.3,47.51,1.000
18.61,sys3,6.08,486.0,94.92,1.000
18.62,sys4,0.81,442.4,86.40,1.000
18.64,sys1,2.86,474.5,92.67,1.000
19.61,sys2,4.65,243.7,47.60,1.000
19.61,sys3,4.65,486.3,94.98,1.000
19.62,sys4,0.79,442.4,86.40,1.000
19.64,sys1,2.84,473.6,92.50,1.000
20.61,sys2,6.55,243.5,47.55,1.000
20.61,sys3,15.87,486.0,94.92,1.000
20.63,sys4,0.92,442.1,86.35,1.000
20.64,sys1,2.13,473.8,92.54,1.000
21.61,sys3,6.09,486.2,94.97,1.000
21.62,sys2,4.35,243.2,47.50,1.000
21.63,sys4,0.86,442.1,86.35,1.000
21.64,sys1,2.00,473.9,92.56,1.000
22.61,sys3,2.84,485.9,94.91,1.000
22.62,sys2,4.41,243.2,47.50,1.000
22.63,sys4,0.77,442.1,86.35,1.000
22.64,sys1,3.41,473.7,92.51,1.000
23.61,sys3,5.13,486.0,94.92,1.000
23.62,sys2,8.64,243.2,47.50,1.000
23.63,sys4,0.83,442.4,86.40,1.000
23.64,sys1,2.78,473.9,92.56,1.000
24.62,sys2,2.49,243.2,47.50,1.000
24.62,sys3,2.38,485.8,94.88,1.000
24.63,sys4,2.68,442.4,86.41,1.000
24.65,sys1,1.89,474.1,92.59,1.000
25.62,sys2,4.87,243.5,47.55,1.000
25.62,sys3,3.09,486.1,94.95,1.000
25.63,sys4,0.86,442.2,86.37,1.000
25.65,sys1,3.31,473.4,92.45,1.000
26.62,sys2,7.77,243.2,47.50,1.000
26.62,sys3,8.75,486.4,95.00,1.000
26.63,sys4,0.86,442.2,86.36,1.000
26.65,sys1,3.21,474.0,92.58,1.000
27.62,sys2,6.11,243.2,47.51,1.000
27.62,sys3,4.75,486.2,94.96,1.000
27.63,sys4,0.77,442.2,86.36,1.000
27.65,sys1,1.99,474.0,92.59,1.000
28.62,sys2,5.77,243.0,47.45,1.000
28.62,sys3,7.57,486.1,94.95,1.000
28.63,sys4,0.76,442.2,86.36,1.000
28.65,sys1,3.07,474.1,92.59,1.000
29.62,sys2,2.20,243.2,47.50,1.000
29.63,sys3,1.26,486.4,94.99,1.000
29.64,sys4,0.86,442.1,86.35,1.000
29.65,sys1,2.43,474.6,92.69,1.000
30.63,sys2,7.62,243.2,47.50,1.000
30.63,sys3,4.79,486.4,95.01,1.000
30.64,sys4,0.76,442.1,86.35,1.000
30.65,sys1,4.38,474.7,92.72,1.000
31.63,sys2,1.76,243.5,47.55,1.000
31.63,sys3,0.98,486.8,95.07,1.000
31.64,sys4,0.75,442.1,86.35,1.000
31.65,sys1,2.44,474.9,92.76,1.000
32.63,sys2,4.85,243.2,47.50,1.000
32.63,sys3,1.73,486.5,95.03,1.000
32.64,sys4,0.79,442.1,86.35,1.000
32.66,sys1,4.08,474.3,92.64,1.000
33.63,sys2,9.91,243.2,47.50,1.000
33.63,sys3,8.29,486.5,95.03,1.000
33.64,sys4,0.77,442.1,86.35,1.000
33.66,sys1,3.90,474.1,92.59,1.000
34.63,sys3,3.63,486.8,95.08,1.000
34.64,sys2,6.55,243.2,47.50,1.000
34.64,sys4,0.83,442.1,86.35,1.000
34.66,sys1,3.64,474.4,92.67,1.000
35.64,sys2,3.91,243.2,47.50,1.000
35.64,sys3,4.04,487.1,95.13,1.000
35.64,sys4,0.78,442.1,86.35,1.000
35.67,sys1,5.25,474.7,92.72,1.000
36.64,sys2,5.45,243.2,47.50,1.000
36.64,sys3,3.29,486.9,95.09,1.000
36.65,sys4,0.74,442.1,86.35,1.000
36.67,sys1,4.44,474.2,92.62,1.000
37.64,sys2,10.88,243.5,47.55,1.000
37.64,sys3,4.93,486.9,95.10,1.000
37.65,sys4,1.21,441.9,86.30,1.000
37.67,sys1,4.20,474.2,92.62,1.000
38.64,sys2,6.23,243.0,47.46,1.000
38.64,sys3,6.73,486.7,95.06,1.000
38.65,sys4,0.89,441.9,86.30,1.000
38.68,sys1,2.85,474.1,92.59,1.000
39.64,sys2,1.34,243.5,47.55,1.000
39.64,sys3,5.16,486.8,95.08,1.000
39.65,sys4,1.27,441.9,86.30,1.000
39.68,sys1,3.79,474.6,92.69,1.000
40.64,sys2,3.23,243.0,47.45,1.000
40.64,sys3,6.95,487.1,95.13,1.000
40.65,sys4,0.77,441.9,86.30,1.000
40.68,sys1,1.85,474.3,92.63,1.000
41.64,sys2,0.99,243.5,47.55,1.000
41.64,sys3,3.44,487.4,95.20,1.000
41.65,sys4,0.80,441.9,86.30,1.000
41.68,sys1,3.17,474.6,92.69,1.000
42.65,sys2,0.76,243.2,47.51,1.000
42.65,sys3,7.93,488.3,95.36,1.000
42.66,sys4,0.77,441.9,86.30,1.000
42.68,sys1,1.67,475.2,92.82,1.000
43.65,sys2,2.11,243.5,47.55,1.000
43.65,sys3,8.95,488.9,95.49,1.000
43.66,sys4,3.18,442.2,86.36,1.000
43.69,sys1,3.87,473.6,92.51,1.000
44.65,sys2,1.85,243.2,47.50,1.000
44.65,sys3,6.31,488.8,95.47,1.000
44.66,sys4,0.85,442.2,86.36,1.000
44.69,sys1,3.14,474.3,92.63,1.000
45.65,sys2,1.29,243.5,47.55,1.000
45.65,sys3,9.86,489.0,95.50,1.000
45.66,sys4,0.83,442.1,86.35,1.000
45.69,sys1,3.58,475.2,92.81,1.000
46.65,sys2,2.00,242.2,47.31,1.000
46.65,sys3,10.70,489.4,95.59,1.000
46.67,sys4,0.86,442.1,86.35,1.000
46.69,sys1,2.25,474.5,92.67,1.000
47.65,sys3,4.68,489.5,95.61,1.000
47.66,sys2,1.04,242.5,47.36,1.000
47.67,sys4,0.84,442.1,86.35,1.000
47.69,sys1,1.62,474.8,92.74,1.000
48.65,sys3,0.50,489.8,95.66,1.000
48.66,sys2,0.20,242.2,47.31,1.000
48.67,sys4,0.78,442.1,86.35,1.000
48.69,sys1,1.01,474.3,92.64,1.000
